Country,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Costs,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,FertilityRate,MaxCorporateTax,MaxPrivateTax,Happiness
Portugal,93,19253,,1.74,79.5,26.3,1,1.61,65.8,25.4,75,76,82,99,71,50,47,38,81.07,78.0,84.3,7.7,12.1,49.6,52.6,47.1,55.5,46.2,1.4,21,64,5.97
Puerto Rico,82,16583,,1.79,90.7,28.4,,1.63,76.0,28.6,,,,,,,,,80.16,75.9,84.5,5.9,8.6,47.1,60.6,56.2,52.7,48.4,,20,33.34,
Qatar,80,58617,,1.73,85.7,28.8,0.5,1.60,77.6,30.2,82,59,59,94,61,48,9,42,79.27,78.3,80.9,9.8,1.3,,,,,,1.9,10,0,
Romania,88,7109,12.73,1.77,85.1,27.1,1.5,1.64,72.2,26.8,59,57,71,91,37,79,42,54,72.96,69.4,76.7,9.3,17.5,,,,,,1.8,16,45,6.59
Russia,96,8241,13.21,1.76,80.3,25.9,2.5,1.64,72.2,26.7,,,,,,,,72,69.36,64.2,74.8,9.6,16.7,45.2,56.6,61.6,56.5,45.9,1.6,20,35,5.66
Rwanda,69,,,,,,0,,,,49,48,20,81,61,94,17,,66.07,,,,,,,,,,4,30,30,3.27
Saint Lucia,,,,1.76,91.1,29.5,,1.65,82.4,30.3,,,,,,,,,,,,,,,,,,,1.4,30,0,
Samoa,,,,1.73,91.8,30.5,,1.63,90.5,34.1,,,,,,,,,,,,,,,,,,,3.9,27,0,
San Marino,,,,,,,,,,,81,82,100,97,62,62,33,,,,,,,,,,,,,17,35,
Saudi Arabia,77,17468,,1.70,80.9,28.0,1,1.58,73.6,29.4,60,45,64,76,55,81,36,49,76.94,75.6,78.8,17.5,2.9,,,,,,2.3,15,0,6.46
Senegal,73,,15.89,,,,0,,,,,,,,,,,,67.09,64.8,69.3,32.6,5.9,,,,,,4.6,25,50,4.86
Serbia,89,4876,14.87,1.80,86.9,26.7,0.5,1.68,72.6,25.7,51,43,69,86,51,75,33,64,72.73,70.0,75.6,9.1,20.0,52.0,56.8,47.1,45.5,44.7,1.5,15,25,6.14
Sierra Leone,52,412,,,,,,,,,,,,,,,,66,60.06,,,,,,,,,,4.3,25,0,3.14
Singapore,106,41100,11.53,1.73,72.8,24.3,,1.61,60.2,23.2,81,89,79,100,45,45,51,17,83.44,81.1,85.9,8.6,5.8,,,,,,1.1,17,22,6.59
Slovakia,96,,,1.81,89.5,27.4,,1.67,71.3,25.6,65,67,74,94,35,48,44,47,74.71,,,,,54.9,47.3,45.6,55.6,48.2,1.5,21,25,6.47
Slovenia,98,,,1.81,87.0,26.6,1.5,1.67,74.2,26.6,77,72,83,99,40,49,47,44,80.88,,,,,54.7,41.4,44.2,46.9,55.6,1.6,19,50,6.65
