Country,Population,Fertility,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Cheapness,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,MaxCorporateTax,MaxPrivateTax,Happiness,Divorces,Homicide,SexualPartners,Religiosity
Japan,123294513,1.3,106.48,40964,13.56,1.72,69.5,23.6,1.5,1.58,54.8,21.9,86,88,92,99,54,29,46,27,84.45,81.5,87.6,6.6,11.7,57.5,39.5,40.8,53.5,53.7,29.74,55,61.3,1.7,0.26,10.2,10
Jordan,11337052,2.7,80.7,,,,,,,,,,55,46,59,86,51,79,32,54,74.26,72.1,76.8,22.0,3.9,,,,,,20,25,41.2,1.6,1.36,,85
Kazakhstan,19606633,3.0,88.89,6380,,1.74,80.0,26.3,1,1.61,69.3,26.6,57,35,68,80,40,94,38,61,70.23,66.3,74.0,23.5,9.6,,,,,,20,15,61.4,4.6,5.06,,22
Kenya,55100586,3.2,75.2,939,,1.70,63.9,22.2,0.5,1.59,61.8,24.4,40,34,11,72,90,84,28,69,61.43,58.9,64.1,27.7,8.1,,,,,,30,35,44.9,,4.93,,87
Kiribati,133515,3.2,83.96,,,1.70,83.9,29.1,,1.61,80.3,31.1,,,,,,,,,67.42,,,,,,,,,,35,0,,,7.52,,
Kosovo,1964327,1.52,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,10,10,,,,,
Kuwait,4310108,2.1,78.64,37088,,,,,0,,,,70,45,72,89,31,60,23,54,78.67,77.2,81.5,10.4,2.9,48.9,55.4,56.4,56.5,53.0,16,0,61.1,1.3,1.82,,
Kyrgyzstan,6735347,2.9,79.09,,,,,,0,,,,39,24,58,62,48,100,32,74,71.90,,,,,,,,,,10,0,58.3,1.4,2.19,,47
Laos,7633779,2.4,80.99,,,1.62,59.5,22.6,0,1.53,53.7,23.0,50,20,33,80,48,100,29,72,68.06,66.2,70.1,22.0,6.6,,,,,,35,0,51.1,,,,
Latvia,1830211,1.6,94.79,,14.69,1.80,87.9,27.1,0.5,1.68,74.5,26.4,67,75,73,88,19,56,36,40,73.28,68.6,78.2,9.2,18.4,,,,,,0,31.4,62.1,2.7,4.36,,11
Lebanon,5353930,2.1,81.7,,,1.78,88.9,28.0,0,1.63,73.4,27.5,14,21,58,68,71,46,9,76,75.05,72.8,77.3,14.9,8.3,51.9,53.4,52.6,44.6,45.2,17,25,23.9,1.6,2.49,,57
